PEOPLESINS,01-01-2019,17.6,17.7,17.6,17.6,2837,,
PF1STMF,01-01-2019,5.4,5.5,5.4,5.5,20800,,
PHARMAID,01-01-2019,599,613.7,596,599.4,52274,,
PHENIXINS,01-01-2019,29,29.3,27.9,28.9,69348,,
PHOENIXFIN,01-01-2019,33,33.3,33,33.1,17507,,
PHPMF1,01-01-2019,4.3,4.4,4.3,4.3,27260,,
PIONEERINS,01-01-2019,29.2,29.3,29.2,29.3,17805,,
PLFSL,01-01-2019,5.6,5.9,5.5,5.8,184952,,
POPULAR1MF,01-01-2019,4.1,4.3,4.1,4.3,553396,,
POPULARLIF,01-01-2019,114.9,114.9,111.4,111.9,14118,,
POWERGRID,01-01-2019,48,48.7,47.6,48.3,108160,,
PRAGATIINS,01-01-2019,27.9,28.1,27.4,27.5,58386,,
PRAGATILIF,01-01-2019,116.9,117.4,112.6,113,69061,,
PREMIERBAN,01-01-2019,11.8,12.3,11.8,12.3,3301151,,
PREMIERCEM,01-01-2019,71.9,73.2,71.9,72.2,525,,
PREMIERLEA,01-01-2019,9.1,9.3,9,9.1,377312,,
PRIME1ICBA,01-01-2019,6.3,6.3,6,6.1,3449,,
PRIMEBANK,01-01-2019,17.7,17.9,17.6,17.9,1064139,,
PRIMEFIN,01-01-2019,9.1,9.7,9.1,9.5,111409,,
PRIMEINSUR,01-01-2019,13.9,13.9,13.5,13.6,79170,,
PRIMELIFE,01-01-2019,58,58.1,56.9,57,166291,,
PRIMETEX,01-01-2019,36.5,37.2,36.3,37,240833,,
PROGRESLIF,01-01-2019,67.5,67.5,66,67.5,1092,,
PROVATIINS,01-01-2019,17.2,17.6,17,17.3,235132,,
PTL,01-01-2019,66.2,69.1,66.2,68.9,4333338,,
PUBALIBANK,01-01-2019,26.5,26.6,26,26.5,206945,,
PURABIGEN,01-01-2019,13,13.4,12.9,13.3,105160,,
QUASEMIND,01-01-2019,46.8,47,45.9,46.5,320748,,
QUEENSOUTH,01-01-2019,39.4,39.5,38.6,38.9,285610,,
RAHIMTEXT,01-01-2019,362.8,366.9,362.8,365.4,6763,,
RAKCERAMIC,01-01-2019,39.2,39.6,39,39.4,87110,,
RANFOUNDRY,01-01-2019,144.8,144.8,142,143.4,22893,,
RDFOOD,01-01-2019,15.7,16.1,15.4,16,561605,,
RECKITTBEN,01-01-2019,2170,2196.9,2130,2143.1,2667,,
REGENTTEX,01-01-2019,15.7,16.3,15.7,16.2,398409,,
RELIANCE1,01-01-2019,9.4,9.5,9.4,9.4,57010,,
RELIANCINS,01-01-2019,46.3,46.8,45.5,46.5,5891,,
RENATA,01-01-2019,1135,1137.9,1131.2,1132.1,5852,,
RENWICKJA,01-01-2019,874,910,874,896.3,12424,,
REPUBLIC,01-01-2019,25.6,26.1,25.2,25.9,284916,,
RNSPIN,01-01-2019,8.9,9.1,8.8,9,565740,,
RSRMSTEEL,01-01-2019,46.8,48.5,46.5,48.2,398127,,
RUPALIBANK,01-01-2019,36.4,37.1,36.3,36.6,278742,,
RUPALIINS,01-01-2019,19.4,20.4,19,20,456644,,
RUPALILIFE,01-01-2019,91.5,92.7,90,91.4,489010,,
SAFKOSPINN,01-01-2019,17.6,17.9,17.4,17.7,419714,,
SAIFPOWER,01-01-2019,21.4,22.3,21.2,21.9,1842713,,
SAIHAMCOT,01-01-2019,26.2,26.8,25.7,26.7,4650306,,
SAIHAMTEX,01-01-2019,52,52,49.5,50.4,88600,,
SALAMCRST,01-01-2019,28.3,29.6,28.2,29.4,212634,,
SALVOCHEM,01-01-2019,17,17.5,16.8,17.3,285738,,
SAMATALETH,01-01-2019,51,52.9,51,52.4,15126,,
SAMORITA,01-01-2019,70.7,70.7,68.6,69.9,28650,,
SANDHANINS,01-01-2019,26,26.5,25.6,25.8,310590,,
SAPORTL,01-01-2019,25.7,26.5,25.2,26.4,229154,,
SAVAREFR,01-01-2019,106.7,112,105.3,110.3,6753,,
SEBL1STMF,01-01-2019,12,12,12,12,610,,
SEMLLECMF,01-01-2019,6.7,6.7,6.6,6.7,129000,,
SHAHJABANK,01-01-2019,27.9,28.5,27.9,28.3,354542,,
SHASHADNIM,01-01-2019,61,63.4,60.8,61.8,878548,,
SHEPHERD,01-01-2019,43.8,45.1,43,44.8,1430040,,
SHURWID,01-01-2019,29,29.3,28.5,29.1,198502,,
SHYAMPSUG,01-01-2019,33,34.2,31.1,34.1,16108,,
SIBL,01-01-2019,15.8,15.8,15.5,15.8,257260,,
SILVAPHL,01-01-2019,30.7,32.7,30.7,32.5,955897,,
SIMTEX,01-01-2019,33.2,33.6,32.7,33.1,986217,,
SINGERBD,01-01-2019,221.3,223,221,222.7,78926,,
